row_name,frame_index,bbox_width,bbox_height,alpha_area,center_x,center_y,baseline_y,margins,scale_factor
idle,0,134,156,11408,95.0,122.0,200,"{""left"": 28, ""top"": 44, ""right"": 30, ""bottom"": 8}",0.826016
idle,1,126,141,8974,96.0,129.5,200,"{""left"": 33, ""top"": 59, ""right"": 33, ""bottom"": 8}",0.826016
idle,2,126,141,8974,96.0,129.5,200,"{""left"": 33, ""top"": 59, ""right"": 33, ""bottom"": 8}",0.826016
idle,3,142,159,11712,95.0,120.5,200,"{""left"": 24, ""top"": 41, ""right"": 26, ""bottom"": 8}",0.826016
idle,4,135,160,11191,95.5,120.0,200,"{""left"": 28, ""top"": 40, ""right"": 29, ""bottom"": 8}",0.826016
idle,5,135,160,11191,95.5,120.0,200,"{""left"": 28, ""top"": 40, ""right"": 29, ""bottom"": 8}",0.826016
running-right,0,183,85,7336,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-right,1,182,86,6270,96.0,156.0,199,"{""left"": 5, ""top"": 113, ""right"": 5, ""bottom"": 9}",1.0
running-right,2,182,84,6944,95.0,156.0,198,"{""left"": 4, ""top"": 114, ""right"": 6, ""bottom"": 10}",1.0
running-right,3,181,94,7472,96.5,153.0,200,"{""left"": 6, ""top"": 106, ""right"": 5, ""bottom"": 8}",1.0
running-right,4,183,85,7176,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-right,5,182,91,7434,96.0,152.5,198,"{""left"": 5, ""top"": 107, ""right"": 5, ""bottom"": 10}",1.0
running-right,6,183,96,7437,96.5,151.0,199,"{""left"": 5, ""top"": 103, ""right"": 4, ""bottom"": 9}",1.0
running-right,7,182,84,7227,97.0,157.0,199,"{""left"": 6, ""top"": 115, ""right"": 4, ""bottom"": 9}",1.0
running-left,0,183,85,7336,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-left,1,182,86,6270,97.0,156.0,199,"{""left"": 6, ""top"": 113, ""right"": 4, ""bottom"": 9}",1.0
running-left,2,182,84,6944,97.0,156.0,198,"{""left"": 6, ""top"": 114, ""right"": 4, ""bottom"": 10}",1.0
running-left,3,181,94,7472,96.5,153.0,200,"{""left"": 6, ""top"": 106, ""right"": 5, ""bottom"": 8}",1.0
running-left,4,183,85,7176,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-left,5,182,91,7434,96.0,152.5,198,"{""left"": 5, ""top"": 107, ""right"": 5, ""bottom"": 10}",1.0
running-left,6,183,96,7437,96.5,151.0,199,"{""left"": 5, ""top"": 103, ""right"": 4, ""bottom"": 9}",1.0
running-left,7,182,84,7227,96.0,157.0,199,"{""left"": 5, ""top"": 115, ""right"": 5, ""bottom"": 9}",1.0
waving,0,153,172,12299,96.5,114.0,200,"{""left"": 20, ""top"": 28, ""right"": 19, ""bottom"": 8}",0.920018
waving,1,160,175,12075,96.0,112.5,200,"{""left"": 16, ""top"": 25, ""right"": 16, ""bottom"": 8}",0.920018
waving,2,160,158,10380,96.0,121.0,200,"{""left"": 16, ""top"": 42, ""right"": 16, ""bottom"": 8}",0.920018
waving,3,163,154,9874,96.5,123.0,200,"{""left"": 15, ""top"": 46, ""right"": 14, ""bottom"": 8}",0.920018
jumping,0,174,106,10773,96.0,148.0,201,"{""left"": 9, ""top"": 95, ""right"": 9, ""bottom"": 7}",0.98
jumping,1,173,146,9466,95.5,101.0,174,"{""left"": 9, ""top"": 28, ""right"": 10, ""bottom"": 34}",0.98
jumping,2,174,61,6248,96.0,170.5,201,"{""left"": 9, ""top"": 140, ""right"": 9, ""bottom"": 7}",0.98
jumping,3,173,124,8942,95.5,134.0,196,"{""left"": 9, ""top"": 72, ""right"": 10, ""bottom"": 12}",0.98
jumping,4,165,149,10715,96.5,96.5,171,"{""left"": 14, ""top"": 22, ""right"": 13, ""bottom"": 37}",0.98
failed,0,164,188,16215,97.0,106.0,200,"{""left"": 15, ""top"": 12, ""right"": 13, ""bottom"": 8}",1.01087
failed,1,181,176,17655,96.5,112.0,200,"{""left"": 6, ""top"": 24, ""right"": 5, ""bottom"": 8}",1.01087
failed,2,186,96,11708,97.0,152.0,200,"{""left"": 4, ""top"": 104, ""right"": 2, ""bottom"": 8}",1.01087
failed,3,186,96,11708,97.0,152.0,200,"{""left"": 4, ""top"": 104, ""right"": 2, ""bottom"": 8}",1.01087
failed,4,183,97,10059,95.5,151.5,200,"{""left"": 4, ""top"": 103, ""right"": 5, ""bottom"": 8}",1.01087
failed,5,183,97,10059,95.5,151.5,200,"{""left"": 4, ""top"": 103, ""right"": 5, ""bottom"": 8}",1.01087
failed,6,183,97,10059,95.5,151.5,200,"{""left"": 4, ""top"": 103, ""right"": 5, ""bottom"": 8}",1.01087
failed,7,183,97,10059,95.5,151.5,200,"{""left"": 4, ""top"": 103, ""right"": 5, ""bottom"": 8}",1.01087
waiting,0,110,173,12115,96.0,113.5,200,"{""left"": 41, ""top"": 27, ""right"": 41, ""bottom"": 8}",0.913994
waiting,1,124,172,9584,95.0,114.0,200,"{""left"": 33, ""top"": 28, ""right"": 35, ""bottom"": 8}",0.913994
waiting,2,168,171,11221,96.0,114.5,200,"{""left"": 12, ""top"": 29, ""right"": 12, ""bottom"": 8}",0.913994
waiting,3,168,171,11221,96.0,114.5,200,"{""left"": 12, ""top"": 29, ""right"": 12, ""bottom"": 8}",0.913994
waiting,4,124,172,9584,95.0,114.0,200,"{""left"": 33, ""top"": 28, ""right"": 35, ""bottom"": 8}",0.913994
waiting,5,110,173,12115,96.0,113.5,200,"{""left"": 41, ""top"": 27, ""right"": 41, ""bottom"": 8}",0.913994
running,0,131,138,12154,95.5,131.0,200,"{""left"": 30, ""top"": 62, ""right"": 31, ""bottom"": 8}",0.74
running,1,132,118,10010,96.0,141.0,200,"{""left"": 30, ""top"": 82, ""right"": 30, ""bottom"": 8}",0.74
